RTENAME,23HIST_0,23HIST_11,23HIST_12,23HIST_21,23HIST_22,23HIST_23,23HIST_24,23HIST_31,23HIST_41,23HIST_42,23HIST_43,23HIST_52,23HIST_71,23HIST_81,23HIST_82,23HIST_90,23HIST_95
AUTAUGAVILLE,0,44233,0,63904,21772,6226,1960,2876,268933,286107,218497,135508,72310,377893,68819,251557,25942
LIMESTONE,0,478554,0,64394,70999,23052,9171,10887,62363,232,1037,65,15100,14705,965097,11387,119508
ALLEN CREEK,0,717,0,10597,1168,138,12,54,62684,124275,45,1646740,43,0,0,56,5
SOUTHINGTON,0,45336,0,245003,235824,179119,40741,6249,635512,36223,209105,3055,10153,53647,22576,119568,4427
RIDGE HARBOR,0,268358,0,198291,101433,28528,4866,1727,1527,25102,8341,17136,6776,295153,77495,525548,286270
OZETTE,0,481435,0,37387,8317,2255,298,7112,30387,942251,46024,110118,121934,3833,7,47557,7619
DARMSTADT,0,16967,0,60423,37959,9859,1728,693,123864,104,64035,33,6852,93117,1246056,179079,5770
CRANDON,0,80234,0,53367,7043,842,325,1190,615229,26971,211629,20727,27945,10998,34171,700102,55753
PROSPECT,0,14083,0,15573,1650,318,56,6618,2545,1420218,8414,345024,22156,6096,452,2464,874
N FREEDOM,0,47365,0,61248,37237,5809,2182,1655,567766,13034,76783,4005,5221,248864,653687,74960,46704
GALLO ARROYO,0,0,0,3936,151,0,0,1176,0,1477,0,649868,1189682,0,0,9,237
GRIMMS,0,13160,0,66379,67396,14213,3222,6546,86834,1383,11145,1848,2442,192704,1134626,214073,30556
BELKNAP,0,28098,0,58982,32039,2625,649,1752,718046,22240,90237,2380,2153,439488,330908,94817,22127
ELLENSBURG,0,8660,0,51009,26733,8240,1594,338,565,277434,64,669013,420248,264345,100460,12046,5801
REDSTONE,0,525,0,23783,2216,142,16,192,7464,238,392,131780,802466,29736,827610,3468,16508
NEW BEDFORD,0,130807,0,268626,250891,97228,27934,27606,304990,79557,98151,15162,14072,45177,123774,351484,11092
