RTENAME,23km_16_0,23km_16_11,23km_16_12,23km_16_21,23km_16_22,23km_16_23,23km_16_24,23km_16_31,23km_16_41,23km_16_42,23km_16_43,23km_16_52,23km_16_71,23km_16_81,23km_16_82,23km_16_90,23km_16_95
AUTAUGAVILLE,0,44407,0,68767,25283,8990,2648,3138,260294,327659,216490,121316,92786,322524,74947,252064,25224
LIMESTONE,0,481712,0,64467,73141,27427,11943,12007,62501,245,1053,45,13652,15495,953948,11376,117539
ALLEN CREEK,0,704,0,10607,1201,151,14,55,62438,118656,52,1647072,5462,0,67,55,0
SOUTHINGTON,0,42047,0,259283,245324,194864,48283,5804,598639,34710,207359,4758,11833,46363,22250,119788,5233
RIDGE HARBOR,0,265357,0,192949,105311,38950,8252,990,1598,22962,7757,18397,7385,289047,74838,585422,227336
OZETTE,0,480999,0,37365,8310,2281,307,6240,29098,733496,41318,324903,122519,3588,7,47964,8139
DARMSTADT,0,18194,0,60826,38768,11545,3035,1363,123193,97,63897,221,7345,88642,1245036,178771,5606
CRANDON,0,80114,0,53485,7114,1039,393,1142,612249,27579,222196,14811,23279,10258,36809,703680,52378
PROSPECT,0,14815,0,15594,1684,341,56,5900,2745,1266445,9430,437811,81887,5917,544,2480,892
N FREEDOM,0,47766,0,62792,38176,7091,2766,1814,567399,12662,77442,4338,6000,233050,663894,74780,46550
GALLO ARROYO,0,2,0,3936,152,1,0,1176,0,1477,0,642393,1197153,0,0,8,238
GRIMMS,0,13026,0,72166,72686,19201,4852,6792,86118,1431,11180,1916,2419,184220,1125705,218137,26678
BELKNAP,0,29000,0,59251,32219,2927,726,2662,723174,22180,93232,2234,8679,410748,342430,94689,22390
ELLENSBURG,0,8517,0,51450,27469,9434,2023,364,568,264409,69,659709,437764,251190,115422,12205,5957
REDSTONE,0,617,0,23792,2214,166,20,239,7166,239,381,132122,731043,28479,899543,3320,17195
NEW BEDFORD,0,131019,0,289850,277566,124792,34029,22912,267883,75952,94043,13206,11580,36217,111380,345197,10925
COOPERSVILLE,0,26851,0,66541,69621,13243,4315,2162,395905,35329,53533,5570,41109,7674,858549,248017,18112
PEAR VALLEY,0,10893,0,42927,7522,2146,915,293,28524,98115,2356,1172760,144693,5983,329077,203,136
INDIANA DUNE,0,793172,0,86273,157148,83095,39065,12139,157296,1889,10971,16705,47936,60319,251080,116391,13084
BAY MINETTE,0,5993,0,72926,22498,7199,2101,1956,1459,678545,17371,217162,121230,152248,170596,368958,6299
RAMAH,0,81866,0,21256,29984,5194,5140,123,1879,188,2259,741,2678,49095,123549,1335366,187225
SULPHUR LICK,0,1269,0,93851,12899,6195,2049,4954,623855,14453,206247,8458,10908,728950,129670,2684,99
LAURENS,0,11382,0,84463,19208,5410,1571,603,776085,109409,281831,7072,11949,412344,34493,83927,6799
HOLDEN,0,76739,0,144315,123243,106896,34801,9084,536959,112399,354956,14541,20137,93597,2645,207329,8908
JONES CORNER,0,18276,0,65373,25574,6203,1813,2702,20408,403929,112340,98931,47852,5983,400127,597578,39450
DIXVIL NOTCH,125868,28594,0,32718,9522,2387,480,1325,544798,298901,547276,128871,17981,37055,3366,65038,2355
MARLOW,0,35533,0,80839,32466,15650,2921,4371,446990,359258,619483,32575,23702,92199,18996,74115,7443
GROVER,0,1763,0,27133,1676,183,118,4879,23,0,1,3749,1514564,13414,277430,215,1389
COTTONTON,0,22302,0,40971,12036,2200,654,2406,245966,588420,297323,180513,58627,90273,90360,210815,3699
WILLIMANTIC,0,29527,0,136311,86293,36492,8643,5338,926228,33393,249613,10447,13295,85958,48279,172432,4268
TODD,0,1904,0,117487,7269,2873,963,1615,1084481,35597,313247,19028,25772,232739,2202,753,598
ACCIDENT,0,37559,0,85373,10477,5046,1328,19358,1104523,38434,212210,19980,23214,239768,16947,20339,11980
NE ENTRANCE,0,4039,0,4054,48,8,0,12474,2054,656173,201,1018772,120849,0,27,12280,15578
CARRABASSETT,0,87356,0,32095,5152,2108,314,10120,356953,612612,428744,129240,40048,3,8,130946,10836
CARLTON,0,16980,42,31209,17343,4365,518,87550,1001,847738,1759,483708,314439,18303,1518,15279,4793
GLYNDON,0,34247,0,58048,14373,3410,909,1947,28022,1830,2041,131,11136,100937,1427596,31786,130128
SHARPS,0,348599,0,75246,12537,4334,1156,1256,55891,264695,410079,37787,25348,9463,408886,161460,29815
JULIAN,0,32343,0,58189,29043,5222,1512,8692,139619,2849,2340,782,54114,108967,1330927,27726,44229
OTTO,0,4607,1,8494,12818,2171,381,185272,411,529,44,943830,374424,28068,232537,31933,21021
BENNDALE,0,35120,0,68838,11692,1747,412,3986,2014,587456,28090,79167,56813,93350,20154,825934,31751
AMNICON FALLS,0,437530,0,49470,6401,1764,371,2763,381751,97714,390500,20618,16200,144281,9476,270748,16957
CORNPONE,0,18311,0,172639,50593,22975,6860,3116,699499,109196,371268,5015,11430,362081,12449,683,421
SIOUX CITY,0,23989,0,93057,68757,28926,13337,3879,107479,576,1066,378,177636,55596,1232959,18189,20723
CANUTILLO,222115,3900,0,78491,122090,96701,41151,9793,40,1990,0,978139,131415,82,160563,18,52
COYOTE,0,11620,0,138142,133015,226796,48501,694,1222,335422,427208,283416,212850,1551,19818,3340,2947
STREATOR,0,16065,0,52086,62248,15370,5372,2152,31118,86,14495,4,7155,26694,1608044,5489,161
INDIAN PEAK,0,0,0,5151,1543,182,0,199,246,813928,448,1003430,21141,2,0,118,146
MIDDLESEX,0,22873,0,67978,32460,13270,4371,3630,578155,268884,587932,20999,23650,155075,7187,52067,8031
TIPTONVILLE,0,155164,0,62366,10532,2805,1148,2969,216720,524,32746,2593,3378,140438,925522,276368,13279
WATERSTREET,0,4486,0,89658,34738,11429,3196,8998,1134018,52407,143588,5627,5466,143641,204606,3424,1283
CAREY,0,1193,0,4672,3753,940,47,91895,0,1373,0,1027783,622452,5073,80125,3999,3240
CLOUDCROFT,0,31,0,24407,12799,4047,809,167,805,1344521,15,433993,24585,73,221,42,35
MOUNTAIN CTY,0,17220,0,119128,9006,3214,865,560,856760,121610,632880,12752,6907,61994,2378,1135,182
PETRONILA,0,27672,0,58925,42176,66888,23794,34026,12124,8330,14631,225424,128133,38077,1012731,23079,130523
GR NORTH MTN,0,3465,0,57565,13173,1906,387,208,803220,116289,432143,4761,9373,381159,21049,1039,800
ELLIS,0,65691,0,79178,48872,13371,4794,1111,122142,4461,4055,915,2964,201389,934762,342786,20048
SHELDON NWR,0,319,0,4567,392,0,0,1106,41,2048,286,1709486,121860,0,0,2293,4131
NEW PHILA,0,10927,0,98553,19168,8142,3025,3622,814957,4750,74565,2374,13290,409435,375132,7979,625
CAPE HORN,0,5598,493,2796,2239,220,1,5019,409,795748,1,353644,620617,1955,0,11656,46121
HAMPSHIRE,0,91,0,3465,367,70,5,238,0,2947,0,129837,1695602,0,0,4401,9514
NASH,0,8275,0,71801,10818,2924,745,673,16579,1017,358,101,3117,102225,1596224,19793,11904
SAXAPAHAW,0,19273,0,143557,68076,23429,10965,508,595408,118065,178249,46520,46862,520683,68619,5929,428
BELTRAMI,0,20026,0,50733,8020,618,142,257,47454,543,3589,131,3614,41722,1478739,62738,128236
KENNEDY,0,95545,0,6328,1226,162,9,443,1709,448,10556,306,1589326,1367,3177,4794,131142
EXELAND,0,31877,0,44691,10134,1908,851,279,894714,6401,73289,32516,14853,79100,183567,411794,60559
POMERENE,0,67,0,8059,662,31,12,143,333,95313,998,1588473,131076,9,6902,13571,874
GROUNDHOG RS,0,4871,0,2111,1274,14,2,50050,751508,607058,109372,188991,117506,2570,29,7897,3297
SWAIM,0,7829,0,77703,36575,9121,1722,580,1008866,26631,60698,30999,20223,323803,187985,48126,5686
IJAMSVILLE,0,7800,0,177795,87249,33862,8884,7267,364998,8694,167452,4705,4841,536346,413665,21475,1549
UMPQUA,0,14654,0,73974,23090,11309,4551,1741,11453,641205,126986,307039,203145,400274,3036,9287,14817
WILD CREEK,0,25031,0,174816,52475,15984,3958,7848,850979,89893,279502,8056,9922,146578,139170,41116,1220
EDGELEY,0,17418,0,61604,5069,796,195,782,8440,45,123,5075,87095,217191,1345964,4472,92303
CARTERSVILLE,0,63119,0,228214,149013,45869,17711,5918,510545,297531,178661,47425,57275,209974,29264,4647,1379
W RUTLAND,0,37612,0,56619,28677,17569,3853,5113,863275,210828,178863,6180,19812,228205,37364,120539,32018
PICTURE FLAT,0,998,0,14867,1792,51,0,1536,995,1240735,217,508728,45368,165,1152,11796,18129
MCGAFFEY,0,129,0,14363,11278,8223,1468,297,0,999941,0,801684,8998,0,0,42,112
WARFIELDSBRG,0,18094,0,227787,78467,25979,6542,4476,534523,11827,74552,6157,5803,533307,294971,23179,885
EMERADO,0,11511,0,68628,7888,3205,669,143,33553,5182,8111,566,45248,137494,1451016,22037,51290
LAKEWOOD,0,8032,0,20699,3463,774,140,512,0,0,0,969321,813315,0,21959,4684,3648
