U_S_R_I,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
02_072,"0","76191","0","88416","15306","3224","816","438","589285","40888","44969","16652","20971","643723","212534","57799","5207"
02_001,"0","97679","0","115343","66958","22323","9037","3592","555374","74524","78369","69308","34449","409171","203119","70974","5849"
02_204,"0","57445","0","58780","22538","7203","2547","2360","852268","69487","121169","56606","45033","359497","103830","49057","8596"
02_073,"0","10581","0","37932","12120","3452","1393","811","1210700","29152","72154","34324","17757","226587","103452","49022","6975"
02_071,"0","145826","0","109295","66648","23097","9354","1569","321454","59926","59931","24991","27338","438502","385107","131668","11704"
02_007,"0","7773","0","76413","35850","8982","1719","572","992045","25951","59433","30470","19861","318605","185162","47768","5629"
02_203,"0","11654","0","222405","195194","66441","22908","1946","253261","49497","40288","8989","14014","401538","385497","135307","7478"
02_102,"0","121092","0","68879","24876","7415","1998","1355","262357","74917","51563","24665","27053","522938","401893","201032","24383"
02_006,"0","112046","0","135363","100893","44582","16056","2450","323042","82791","68693","13634","22870","425787","261301","192639","14096"
02_009,"0","124821","0","104226","36772","11729","4391","1452","408681","84358","161883","33017","54926","688109","94669","5583","1791"
02_058,"0","28216","0","99265","30973","8705","3858","2399","606379","194566","200937","61436","69957","461083","42532","4557","1549"
02_201,"0","30786","0","58614","19213","4190","1738","1537","692897","292413","182482","146166","66175","226899","40714","47550","4870"
02_046,"0","141146","0","113780","59080","17955","7621","2660","479472","60051","133033","29812","36974","657869","56991","16122","3837"
02_045,"0","12633","0","73699","23998","7490","3242","4304","626941","299227","204400","125943","69350","332349","15633","16562","643"
02_057,"0","14525","0","61561","9093","2347","750","1145","815754","302428","186670","32203","24773","288988","38932","33612","3633"
02_004,"0","71203","0","102293","38142","12237","5378","2331","645644","217045","155907","35941","30682","473106","13169","11744","1591"
02_008,"0","122269","0","74434","25980","4605","1467","5122","408887","294236","178237","78764","92424","326087","165617","32563","5726"
02_105,"0","13249","0","96469","32373","9498","2494","2432","493422","114370","153165","45596","50779","754072","39657","7147","1689"
02_207,"0","23196","0","96596","23873","6123","1506","4120","737281","198214","148582","53114","56511","439879","7268","18351","1626"
02_206,"0","73956","0","99927","21848","9369","1998","9403","507157","361690","242094","87278","108321","245092","2476","42912","2894"
02_016,"0","6226","0","88107","18411","6312","1874","5006","454318","365538","336373","148111","99342","154192","16119","109077","7411"
02_061,"0","20420","0","92399","24547","6122","1564","3730","748953","260371","142305","69703","63660","338793","4362","36986","2500"
02_205,"0","4386","0","78052","8700","1616","446","479","379833","257188","399787","157232","104489","125056","18122","259982","20877"
02_062,"0","7218","0","65270","21245","3974","1406","1277","738040","492931","159504","71371","67667","157463","17300","10594","816"
02_015,"0","14661","0","115721","34535","10757","1654","12206","604175","374846","261454","71813","78828","215358","1528","17808","904"
02_111,"0","8596","0","130460","57227","18779","6540","2652","762546","351797","148604","50187","56645","194585","19804","6291","1696"
02_013,"0","79612","0","121672","27097","12095","4836","6895","599075","333081","120781","82139","81023","280271","14064","49702","3743"
02_017,"0","41234","0","132823","51542","18459","7640","20234","488849","509032","283868","100368","89626","51165","275","20496","798"
02_019,"0","5564","0","76800","12330","2429","705","654","335659","241600","444994","129773","97046","163973","18581","268776","17361"
02_012,"0","11207","0","131576","40382","16397","6669","3100","786400","364291","98058","59001","66679","205448","15519","9535","1820"
02_208,"0","65290","0","135115","33825","14056","5729","3263","624628","366893","104532","69845","72641","236264","57313","24205","2820"
02_056,"0","60002","0","107856","33493","11330","4709","5215","518807","388895","113009","84714","77745","257649","74030","74593","4198"
02_060,"0","57068","0","102972","46834","22817","7712","13837","489603","439740","299046","128886","87732","73696","1952","42912","1605"
02_209,"0","49453","0","74718","22600","2789","739","3101","674951","435900","106645","74070","96301","268593","80","5930","546"
02_010,"0","26702","0","73331","6008","1646","492","2431","677790","544462","111930","91520","88789","172219","101","18482","516"
02_014,"0","38357","0","185724","118695","53136","15461","8005","567774","299796","122700","78000","70300","177992","20620","57102","2756"
02_047,"0","33294","0","95240","40836","20596","7231","2460","346628","213906","382097","113924","67079","145893","25829","305699","15702"
02_059,"0","26301","0","58764","8896","2831","516","1284","239286","343568","367034","102169","84846","134561","16666","402875","26818"
02_043,"0","19087","0","93150","20365","7067","2959","16765","457222","520317","265156","181070","115914","61264","68","54135","1874"
02_028,"0","80233","0","78695","33743","7145","3371","2798","402937","598725","134086","81337","75870","225797","617","88496","2563"
02_064,"0","34858","0","49918","3833","488","54","2174","693878","599718","132457","89964","126493","70901","143","11292","244"
02_049,"0","54385","0","50041","7815","1076","234","655","129505","275690","306973","68479","56796","303741","16113","505436","39472"
02_023,"0","21282","0","61340","5187","1336","284","1060","265789","474241","398488","144238","50074","165876","18328","199528","9362"
02_048,"0","67536","0","40819","9217","1002","194","2214","58902","194496","223138","29026","28893","574338","36184","511616","38672"
02_025,"0","33456","0","71329","23744","6024","1849","2587","397488","368100","205741","137888","125065","312991","17293","102627","10227"
02_051,"0","141217","0","73058","21440","3616","587","2438","505985","483482","204712","107815","81311","140972","5045","43599","1135"
02_026,"0","56260","0","134035","91655","51484","15717","17178","300776","208344","197629","55130","53597","292519","100911","225115","15900"
02_211,"0","44259","0","67668","24843","8917","2653","3090","255563","321203","211676","118707","91317","317312","74367","249728","25108"
02_063,"0","57920","0","51849","15484","4791","1372","4281","45528","269729","186112","55869","60431","595058","50042","394519","23257"
02_027,"0","15279","0","72047","28409","9996","2725","7457","188145","440686","420678","140163","41632","185651","33176","224921","5278"
02_210,"0","53693","0","43740","8177","1044","121","2434","52524","288781","183097","47576","59404","638315","107368","300469","29497"
02_212,"0","21903","0","93050","51946","18247","5993","2496","266812","462361","307672","161181","48585","139710","56358","176507","3593"
02_022,"0","58373","0","62934","15814","6052","1887","3122","86302","336012","161597","74950","52267","322446","81876","521995","30784"
02_029,"0","21643","0","40224","11864","2179","653","2406","241703","580597","292567","177088","57573","88165","88457","207518","3605"
02_065,"0","30126","0","51577","16797","4932","1095","10102","133609","309116","263939","88273","30997","410621","93279","357999","13952"
02_020,"0","5021","0","52191","4775","944","201","1149","107489","671927","391215","143763","141632","59004","717","226594","9789"
02_024,"0","21500","0","41902","6942","686","64","556","261765","428852","218351","85486","83105","426618","9859","222308","8426"
02_050,"0","23836","0","44347","6955","739","153","1617","290370","391530","142523","100615","66309","430425","50098","248481","18250"
02_021,"0","17133","0","44586","3774","1674","570","2423","85480","577304","313752","146765","112885","78267","10993","401675","18959"
02_215,"0","11220","0","64107","11799","2875","960","1164","322893","470440","316760","117895","106822","220012","22225","143264","3974"
02_036,"0","30161","0","47211","4945","755","231","1102","126645","624716","277365","128240","82195","99930","21084","358760","12907"
02_053,"0","4896","0","51453","6083","2779","960","1022","43921","820316","347175","184594","122136","30203","329","194812","5562"
02_055,"0","12073","0","54814","9041","1622","372","4662","82575","514565","366395","180900","66741","202306","108788","208662","2902"
02_039,"0","8242","0","59108","8263","2444","547","1449","25066","592696","419274","125718","119613","123118","4312","311793","14599"
02_033,"0","13593","0","66187","13746","5150","2130","1315","89440","485066","375174","139661","81346","245515","72235","220629","5234"
02_032,"0","16232","0","62617","11156","3090","1175","1680","60039","487348","394510","161558","55548","252371","103858","201927","3314"
02_214,"0","18770","0","51034","11060","3266","1521","3401","40545","649675","321973","131279","80268","73163","118563","301938","9961"
02_216,"0","95150","0","53269","15053","2841","428","5786","84432","567173","305602","162762","69090","86442","234050","131928","2237"
02_034,"0","14682","0","63855","7519","1801","306","564","83640","682575","317199","103640","141491","147854","41903","200272","8950"
02_030,"0","7774","0","103258","61368","22492","10201","549","30757","379623","205863","157418","39873","166208","442665","184291","3906"
02_067,"0","26597","0","78011","16849","4225","1548","1233","45384","637739","334599","97171","96680","232511","79880","159049","4951"
